FireName,FireYear,area
PURCELL MOUNTAIN,1954,371514340
Bonanza Creek,2004,1067029925
Ingruksukruk Creek,2010,391207
GAL S 55,1990,311583
331653,1993,39386038
Zane Pass,2005,9748152
NIKABUNA LAKES,1957,62892568
DCK SSW 21,1993,4077104
Kuikcherk #1,2012,1745478
J C MOOSE,1974,19095037
HSL S 10,1984,12862136
Holtnakatna Creek,2005,778405928
KNOB,1990,568831
Steel Creek,2005,821036
Waldren,1991,50426092
Shoaty,2004,698006
CHARLIE,1972,36709532
Oklahoma (DTA West),2014,221715418
CEM SW 50,1992,13830826
232035,1992,3925921
McCoy Creek,1999,20472304
Tazlina Lake,1991,26920174
MILITARY #8,1990,102753788
Chandalar,2013,62256403
332407,1993,2700764
COLORADO CREEK,1959,32481915
FYUNW57,1993,2036355
Ptarmigan,2003,821536
Ft WW Small Arms Range,2013,8164500
Badger Road,1951,7769666
FT WW Small Arms Range,2014,315689
VOLKMAR LK,1993,1903465
Caribou Creek,2013,5763863
GIESE FIRE,1993,3922990
Delta Barley 8,1979,24957422
Jarvis Complex,2014,3880585
Gilles Creek,2010,78024344
S.W.-Ft. Yukon,1950,47283149
Granite Tors,2010,31643218
CEM W 26,1990,34537511
32019,1990,3253817
ROCK CK.,2000,3161455
Un Chena,2002,17955422
FAI E 35,1980,14720320
131459,1991,665686
BTT SW 60,1991,14244525
Steven`s Village,1950,12705437
Coal Creek,2011,95996061
Minto 1,2004,39927121
SLED,1973,37391237
ENN SW 9,1977,6624416
Buffalo,1942,22408164
Teklanika,2006,570219
Plumley,2008,62896
Eklutna,2010,2831010
Tractor Trail,2001,13068836
BLAIR NE 6,1981,20214305
Tabert Lake,2013,5983433
Hadweenzic,2003,771698926
Venetie,1950,
Long Lake,2005,1929458
WBQ NW 25,1988,286237947
GOLDSTREAM #1,1958,11898200
832002,1988,28901314
Moose Mountain,2011,3442854
Wood River 1,2009,503137412
GOLD STREAM,1966,27848160
West Buttons #2,2005,646134
Willow Creek,2004,27836337
Eagle Creek 2,2009,39034119
JUNEAULAKE,1997,36289
BTT NE 25,1984,467965
Eagle Creek,2009,3886495
Florence Creek,1971,2409198
Florence Creek,2011,699073
32023,1990,625574
KANUTI,1972,11391491
Stevens Creek 1,2009,344634331
Marshall Creek,1999,86817436
Kantishna River,2009,125760885
631305 Stevens Cr.,1996,15278210
Upper Otter Creek,2000,20887359
Chitsia,2000,37464504
John Hansen Lake Fire,1997,1716384
Moose Pass,1986,652298
EAGLE LAKE,1976,4014589
South Fork,2005,445894
Hodzana River,2007,72371857
31037,1990,13333176
BEAR LAKE,1990,6494073
Sawtooth Mtn. #1,1953,6593524
Dugan Hills,2004,1432660
631016,1986,5093879
Bear Creek #4,2012,35296640
Bear Lake,2009,13421361
Kantishna River,2007,2468029
DENALI,1982,42353500
Bean Creek #2,1992,558267
MILLERS REACH 2,1996,150067915
Bent Tree,2000,967765
MHM ESE 23,1986,18302214
Cosna River,2012,614752
COLLINS,1969,82785099
MHM NE 22,1993,3212371
Birch Creek,2005,291157
McKinley River East,2013,17829157
Oilwell Road,1989,2034711
332672,1993,3837175
BTT W 31,1990,8656878
Mettenpherg Creek,2005,661021
TAL N 25,1993,113114790
Deadman Mountain,2005,624645
803007,1988,3191596
Xerxes,2013,11224
Winter Road,2000,1460841
GLACIER LK,1994,368552
Goose Slough,2008,10281358
Winter Trail,2010,449985
Tozitna River,2007,2392251
TAL N 47,1990,284200033
TAL NE 80,1986,7533703
Chitanatala,2010,146985597
Kanuti River,1953,64753114
John Hansen Lake,2002,103338974
TAL NE 17,1990,944948
MINCHUMINA NE-15,1957,31588151
Moving River,2013,137170134
Maiyumerak Creek 1,2011,368
GINGER,1974,18952330
Deviation Peak,2005,2240274
Noatak River,2014,3006807
IVA,1972,45113213
GRANITE MTN,1960,166653162
BET E 11,1984,9585969
Avan River,2010,2628483
Surprise Creek,2003,2204021
SISTERS,1972,45002349
Salmon,1975,24778395
ALBERT 1,1984,3843367
SHAGELUK E,1957,
SHAGELUK,1959,5991335
Landmark,1987,17179428
BUCKSTOCK RIVER,1997,677049
Hamilton,2005,1801828
MANY LAKES,1997,212406391
Fish River,2011,128866614
Otter Creek,2012,19056841
INGLUTALIK,1971,91447371
Ulukluk Creek,1971,525060
PEACE RIVER,1997,11165274
Bilge,1977,5752276
25,1985,84621
South Fork Archuelinguk,2007,1002853
FISH VILLAGE E-15,1962,15187401
Kgun,1991,1407367
BET NW 105,1993,1349147
31057,1990,1085562
Muskeg,2005,1033629
,2001,3228353
11 Mile Fire,2005,988697
Runt Creek,2007,39330002
Salmon Trout,1999,9635931
Allman Lake,2009,71905072
KSM SE 18,1985,168595
832090,1988,2073577
East Andy,1997,428622
LONG LAKE,1972,9743000
ANDREAFSKY RIVER,1962,4177769
GMT NW 35,1979,4904309
Eli River,2010,57698443
PASTOLIK,1973,16703455
132227,1991,496017
POM,1972,5430384
Pilot Station,1953,61547979
Smitty,1972,6321089
731015,1987,28612707
Big Timber Creek,2013,34580346
WEST FORK,1966,777705145
Unknown,2009,11241392
Dennison Fork,1995,6835370
FYU NE 85,1990,1738797665
Grayling Creek,2007,21723399
Coleen River,2008,308340
Biederman Bluff,2007,688610
FYU SE 82,1994,1626822
Charley River,2007,11528644
Anomaly,2004,78937103
Woodchopper Creek,2004,59779029
531004,1985,4949894
EAA N 47,1991,10549987
Big `Ol Monster,1999,93064426
LADUE RIVER,1990,19651058
Walker Fork,1998,13310009
Beaver Creek Fire,1953,56459904
Dennison,2006,12572667
Fishhook Bend,2007,560857
CEMNE62,1993,31308988
FYU E 76,1994,124427238
CABIN,1971,25971235
Big Duck Lake,2010,14222894
Yukon Slough,2010,10694060
EAA NW 20,1990,457762
32034,1990,195965775
FYU N 66,1975,19855458
832054,1988,14104596
SHEEJEK,1968,12621775
PORCUPINE,1993,18659591
FYU SE 32,1994,1429910
East Volkmar,2011,233087040
South Fork Healy,2010,8848699
Chistochina Trail,2013,128084
932003,1989,2391198
Chotzatdhah,2004,1032902
432116,1994,1617614
Sucker River,2010,1594661
MISSILE,1966,175916271
TOK RIVER,1990,414612892
Dennison/Taylor,1999,26759015
Chandalar Creek,2004,16281989
UpperWestFork,1999,143608171
ARC SE 32,1988,68792671
Vundik Lake,2004,1069695
FYU SW 42,1994,3041477
Little Creek,2008,63358693
Mink Lake,2004,899196
CEM E 30,1979,42663528
Black River,1943,486067271
EISEMENGER 1,1998,135089
Koness River,2007,27493903
Chakina,2009,226655195
CIRCLE E-15,1959,29051489
Big Creek,1997,177428524
Cirle City N 14,1977,250908656
CIRCLE S.10,1954,56798936
Yukon,2004,8523262
Takoma Bluff,2004,33311891
Circ Mountain,1996,150545830
BONE CREEK,1958,8098332
Edwards Creek,2004,1115598779
Sheenjek,2007,4126278
FYU NE 65,1991,85770356
Middle Birch Creek,2004,121499911
22 Mile Village,1951,214486628
Birch Creek,1996,2287637
FYU NE 72,1992,3303791
Tiinkdhul Lake,2008,1384848
FYU NW 59,1992,770423
BUTTE CREEK,1969,1882314473
Grayling Fork,2004,193727068
132339,1991,141675263
Marie Creek,2012,38785752
Nabesna River Fire,1948,24995206
Little Black,1946,684304914
Vundik Lake,2007,3404894
Little Black,2007,14524963
John Herberts Village,2005,68530633
Rock Slough,2004,3135860
Grass River,2006,59667509
32042,1990,529062016
Nuntragut,2002,822909
531047,1985,368745513
Rock Creek,2004,144916328
MID-FORK CHENA,1997,1095671
Teuchet,2003,373550
912007,1979,134669014
Monkey Boy,1996,4577685
CLEARWATER#1,1995,9423471
332265,1993,1221551
JUNCTION,1971,21314117
Granite Creek,1987,181721036
Triple H Circle,2005,356340
Donnelly Training East Complex,2010,8698844
Wills Range Complex,2014,186271
Donnelly Flats,1999,75134489
HEALY LAKE,1990,385654
Shawnee Peak,1997,5890216
Big Swede,2010,15789929
GERSTLE RIVER 1,1995,770451
STEELE,1994,3150510
INDIAN,1990,1549933
BILLY LAKE,1995,4150666
132564,1991,13317613
Winter Trail,2004,1331475156
Sheenjek River,2005,454210759
FYU NE 22,1988,15721086
Fort Yukon #1,1950,12836120
WALSH,1956,48220241
TownMountain,1999,418720
Delta Creek,2011,3280641
Your Creek,2007,665829
Chekhechunnjik Creek,2005,74375371
Forty and 1/2 mile creek,2007,8922060
2 MILE YUKON,1981,16831891
CEM W 67,1990,1787859
Bear Creek,1999,23279077
CASSIER,1990,12864085
FAIRBANKS CREEK NE-7,1958,93108674
Manchu Small Arms Range RX,2007,1634014
O`Brien Creek,1996,1038491
Chena Lakes Flood Plain RX,2009,1354091
Windy Ridge Complex(Bolio Lake),2014,404049
Kocacho #2,2002,100956987
Wilson Camp,1981,59783493
Big Rock Mountain,2002,25040861
Tsooktuihvun Lake,2003,27821013
VENETI LANDING,1969,17325858
Chandalar River,1943,30903503
Hadweenzic 1,2007,1500082
Canvasback Lake,2010,142179358
CHENA DOME S-3,1958,233883327
Preacher Cr.,1997,1247764
STUART CREEK RX,2011,6148849
BOLIO,1981,81953719
Milepost 78,2002,462625004
531335,1995,1224456
Cascaden,1997,510910
Popavich,2010,7852748
Tolovana Dome,2000,2825394
CLEAR,1970,2910532
Pinnacle,1995,402131
Clear AFB,2013,326052
EKLUTNA,1999,1538135
Eska,1942,53780266
Slate Creek,2007,767482
Dalton River Crossing,2014,1615947
Fort Hamlin Hills,2004,394166266
PEDRO DOME,1990,5321305
NORTH POLE,1958,33774038
Midway,1997,1379931
MILE 6 RICHARDSON,1957,1238808
Dry Creek,2005,6576032
Sagavanirktok,2007,12661281
Fossil Creek,2005,25601808
42 Mile Creek,1996,156735462
BLAIR LAKES,1980,475380130
Bonnifield #1,2011,34479416
FYU W 90,1988,288075915
King Creek,2004,162923763
Montauk,1999,1446402
LowerLadue,1999,216145470
Wellesley,1991,75366953
east fork,1994,952868
Porcupine,1946,8666412
Island Lake,2005,5821911
Pingo,1999,168915234
70 Mile Falls,1947,3943760
CEMENT CREEK,1966,96487126
Witch Mountain,2010,5853849
FYU NE 10,1979,15162536
Gardiner Creek,2004,504849227
Midnight Creek,2012,31823715
CALICO BLUFF,1969,102948074
Indian Grave,1999,6955365
Dawson 31,2004,29744449
FUNNEL CREEK,1967,18715828
Windfall Mountain,2013,107523
Oklahoma 2,2010,632273
Oklahoma 1,2010,1079420
North Pork Chop,2013,669150
832102,1988,25860342
Hadweenzic,2010,2613239
CEM NW 60,1992,2151774
Beaver WUI,2006,305917
CEM W 58,1992,312340
CACHE MOUNTAIN,1955,11227059
Mk 19 Range,2003,3088369
FAI W 10,1991,535251
FBK Small Arms Range RX,2010,8138494
Angel Creek - Chena Dome,1950,10019298
SALCHA TR,1990,8727353
FROZEN FOOT,1990,16782168
Stuart Creek 1,2010,4520619
Beaver Creek,2000,13558152
South Fork,2001,1011031
EIL NE 20,1976,22986168
YTA-Stuart Creek,2012,4915974
Stuart Creek,2005,492625
Brigadier,1997,3911787
Oklahoma Range RX,2007,81070426
TOLOVANA,1981,117074288
Skinny`s Road,2013,7202495
Healy Creek,2011,722143
Cod Lake,1999,662852
HEALY,1958,157577360
ANDERSON,2010,3380
West Buttons,2005,13634098
HELMAUR,1999,911565
132376,1991,224538792
BTT NE 51,1993,504894
Whymper Creek,1998,2518244
32027,1990,2693477
Applegate,2010,69988198
RAMPART N-2,1959,3800726
BLAIR LAKES #2,1957,5827516
IOWA CREEK,1971,61042709
Clearwater Creek,2013,407594
Blair Lakes,2006,41140
Big Bend,2004,6306192
WBQ NW 30,1988,133797702
Aggie 2,2004,13338554
Globe,2002,1295559
Oxbow,1996,388846
STV S 10,1979,12859549
FYU W 82,1979,936552009
ROGERS,1967,115016258
Fish Creek,2005,407453896
Hess Creek/731444,1997,5483832
Fork of the Forks,2000,670077
BANANZA,1968,83966789
Dall City,2004,1938069389
Middle Fork,2007,3353402
Moose Creek,2002,366812
CLEAR CREEK,1968,384189668
TAL NE 37,1991,81691215
Sandless Lake,2013,240279884
31041,1990,19678907
231239,1992,3929394
Chitsia Creek,2004,6562485
Bear Fire,1997,4838762
Bearpaw River,2004,512602
Thursday Creek,2002,6833497
Ruth 1,2009,1005502
TEKLANIKA 2,1990,2178913
CLEAR,2000,11149663
NENANA W-30,1958,35207998
TEKLANIKA,1990,63723938
DUNE LAKE,1993,10345166
East Fork Toklat,2012,16572
Mile 245 ARR,1943,13991579
Broken Tree,2010,424515
Chickaloon Bay,1959,105250
Lower Lake,1971,33253
Upper Cabin,1973,35196
West Colville River,2012,866306
Itkillik River,2012,9255639
BTT NE 26,1994,24162655
631005,1986,61886140
McKinley River,2005,363169
Cosna River,2005,85046487
SWANSON RIVER,1969,342817590
COSNA,1975,106100459
Circle Lake Fire,2002,97266
ECHO,1969,5853367
TAL N 45,1994,3760540
TAL N 47,1991,1498019
TAL S 32,1991,105811127
Snohomish Hills,2005,753426
Sischu 1,2010,5749844
McLain Lake,2010,273779
Engineer Lake,1963,789221
WILD,2000,18584477
Mile 101,1981,1738532
John River,2007,643341
BTT N 15,1977,7814773
BTT S 49,1994,33219720
BTTS S 40,1990,1162582008
Marva,1972,5771641
Ptarmigan,1997,469890
McCORMICK ROAD HOUSE W-14,1954,31528061
BIG DENVER,1969,1540193192
Mission Creek,2005,6998463
Jackson,1999,1632707
Eagle Creek,2010,713648
DRY CANYON,1977,185052545
Pastolik River,2002,401658
PASTOLIK RIVER,1997,1032949
Andreafsky #2,2003,101980
932010,1989,466351
Noyuk,2007,11098317
WATER,1971,23113375
Bunker Hill,1972,1645468
Aropuk,2002,77629000
8014014,1988,1306018
Tupikchak,1974,4236937
AIN SSE 38,1977,46284813
AVAN,1972,19520003
Kungiakrok Creek,2012,51525431
Kayat,2012,1535523
Uvgoon Creek,2004,45013595
332205,1993,1134801
South of Sisters,2004,1134951
Kuyukutuk,2014,1617702
ENGINEER LAKE,1972,2564410
Pikmiktalik,2005,1152485
Noatak,1977,147771
Uvgoon Creek #2,1999,355284211
Swamp Creek,2009,26462422
MCARTHURCREEK,1999,36971432
Ladue,2007,77266662
Paradise,1992,132733062
Gardner Creek,1997,2429567
FYU E 77,1988,638995
Pass Creek,2003,14612221
EAA NW 50,1993,9063420
832184,1988,1114001
Nation River,2004,306418539
East Fork,1997,65640356
Old Man Fire,2009,3121939
NORTHWAY SOUTH,1954,12872237
EAST  FORK,1994,1403733
GARFIELD CREEK,1997,308285883
Birch Creek,2010,8751894
NEW IGLOO,1971,16154826
Teller Creek,2014,801685
Spike SE 6,1988,9531213
Boundary 40 mile #2,1950,4903366
Kandik River,1996,1968022
Hard Luck Creek,1996,9294438
BOUNDARY CREEK,1957,6668373
Divide Mtn,1991,825929
Nation River #2,1950,9118626
Ninemile Slough,2010,19933
Sheenjek River,1996,986897
132460,1991,301586620
CEM NE 32,1988,709596
Big Creek,1996,191809649
Upper Healy River,2004,24226598
Essie Creek,2004,2325119
Mansfield Lake,1992,1888082
T-LAKE,1993,942862
Drop Creek,2012,89057
Sheenjek,1950,616917578
Stone Boy,2005,68257
LICK CREEK,1994,34321875
Frozen Calf,1996,10209649
913027,1989,13677367
Salmon Fork,2005,949191331
Mardow Creek,2003,1351382
Fanny Mountain,2005,103485001
FYU E 70,1995,1429556
332292,1993,246637384
Little Black River,1998,2243159
WEST FORK,1998,27020407
Butte Creek,2005,1143426
Gold Creek,2004,7999947
Sawmill Ck. #1,1996,5457229
Caribou,1986,14009630
Sunken 1252,1991,128111
CLEARWATER #2,1995,4885615
New Hope,2009,390990
Kachelmier,1979,5647139
Bolio Lake RX,2007,4775785
Kocacho,1999,12712692
Black Rapids,1950,16993277
Johnnie the Frog,2007,2510043
VENETIE N-15,1957,69280086
Tors,2004,122006135
331568,1993,8727851
WHITE CREEK,1969,278469616
SAND CR,1967,31237867
Delta Barley 7,1979,13308504
CENTRAL CREEK,1968,148585925
NORTH FORK,1990,6516468
Christian River,2010,1424822
Joint Lake,2013,17376932
Preacher Creek,2004,945295659
Timber Creek,2013,429688
FYUSE35,1993,19669808
Crazy Mountains,1996,466319
Discovery Creek,2004,6694619
Montana Creek,2011,169043
BEAR CREEK,2011,1610215
Nipple,1997,272555
DEVILS PEAK,1997,967176
Weasel,2014,104345
Stony,2009,949700
DCK NNE 7,1991,885890
Kavachurak,2013,1727491
Pick River,2011,49631
LOUIE CREEK,1972,3211671
ROUNDABOUT MT,1972,19450828
Coffee Can Lake,2007,159643174
Hozatka Lake,2012,7010
631043,1986,23868969
REDE,1972,2614335
BTT WSW 84,1991,765165209
Zane Hills,2011,4322509
32038,1990,612863215
COTTONWOOD,1968,17171678
131520,1991,12690556
COLORADO,1994,2288349
Susulatna,2002,47688947
Fossil,2007,337828
DOMINION,1997,12458103
MCLEAN CREEK,2010,56557640
SELATNA,1990,647640
SELATNA,1985,26592681
MCG NW 53,1994,8847264
631024,1986,3741868
SWAMP,1971,41993403
BILLY GOAT,1968,132801256
South Otter,2007,895951
FLAT E-5 #1,1959,59147945
HICKEY,1994,1588773
Kulukbuk,1991,17917896
Lodge,1991,1645074
Branch Creek,2013,1944518
Big Fork,1991,1688818
Little South,2005,587519
GOBLIN,1968,9900668
SLEET,1977,90220509
Hoholitna,2009,34620336
Kiliovilik North,2004,1311945
DCK SSW 35,1984,5797836
KAWICH,1977,6585741
Woodyard,1971,2752678
NULITNA RIVER,1968,59029944
631474,1996,522643
131356,1991,18627721
BELTON,1972,25978158
Sidik Lake,2010,73767468
Nulergowik River,2007,117345
IAN N 110,1984,11778454
WLK SE 47,1984,1669648
432258,1994,6680438
Tag River #2,2002,665337
North Fork Unalakleet River,2007,1318358
OLD WOMAN,1976,6203460
RUSSIAN MT,1962,3867249
Chicken Creek,2013,322395
ANI-SE 30,1981,174286012
Muskeg Creek,2013,485787
TUNALIK,1971,81337536
DCKN178,1993,67241602
Tag River,2003,11557283
Kawichiark River,2011,6574
Nulato #4,1950,8063302
Magitchlie Creek,1997,1121740214
432229,1994,54071
NOKO I,1977,5543839
GAL SW 94,1994,23435404
HALFWAY ROADHOUSE,1957,380723659
Dementi,1972,1424732
SWINGING DOME,1969,106801873
SIX MILE,1971,180188647
CROOKED CR,1990,33850995
Fish 2,2013,3893226
BREAST,1997,25671312
Kwethluk,1991,1519875
Kaluktavik River,2004,16386
Pack Sack,1974,984735
AMOOK,1972,36994168
SHAKTOLIK,1957,47793532
KKA NE 7,1993,2029847
Egavik Creek,2010,574106
Talbiksok,2005,329897527
32052,1990,2827957
IAN N 63,1983,20462843
Tuklung,1997,910893
IAN N 70,1983,3384147
GAL NW 204,1990,2422546
OTTER,1970,10229326
Linda,1972,1498634
UNGALIK (GISASA),1957,261255124
BUCKLAND,1970,47013619
East Fork Koyuk,2004,13275011
X-MAS CREEK,1968,26726284
132225,1991,13226028
Excalibur,1972,2120313
Paradise Creek,2005,1402227
Yellow River,1972,1944522
Rocky Hill,2012,485734
MHM E 44,1991,1081670
Glacier Creek,2012,853612
DIAMOND,1972,5607338
MADISON CREEK,1972,6696413
Prospect Creek,2013,256924397
North Bonanza,2005,765612848
BTT S 17,1991,155885553
531049,1985,6012126
BETTLES #1,1959,15549762
BTT SE 47,1977,267175808
Peavey Creek,2010,121248263
Torment Creek,2009,13775748
Ft. Hamlin Hills,2009,17219110
DUNE LAKE,1981,591905841
TOLVANA SE-5,1958,4987719
JBER Small Arms Complex,2014,429429
Wigand Creek,2013,2826656
Mill Creek,1991,67648
Round Mountain,1974,209947
RUSSIAN RIVER,1969,8201866
Chapman Creek,2005,688058505
Pipe Creek,2003,1792314
TOLOVANA SW-20,1957,15610776
Big Salt,2013,15338370
Otter Creek,2000,40425725
Twin Lynx,2004,746247
SCHIEFFLIN,1969,6070377
Chitanana,2013,14567036
Chitanana River,1950,13759895
Chitanana River,2009,5402821
532148,1995,6636192
South Boney,2009,31631023
Redland Lake,1972,1188284
Little Creek,2011,105136594
Herron River,2001,25079830
31060,1990,197242981
Cummings Creek,2007,2115770
Chebanika Creek,2012,409378
Sinyalak Creek,2011,11876010
Crooked Creek,2004,940145
Jeannes Lake,2010,68550053
632010,1986,112558863
Funny River,2014,790218182
31051,1990,72918925
Gould Fire,1950,7877825
831022,1988,721258
Heart Mountain,2005,10410186
SNO WHITE,1974,15638992
731368 Henshaw,1997,2222684
TAL N 25,1991,49995401
N. Fork Dag,1999,13429428
Norutak,1999,607203
Little Indian River,2005,2246975
Waite,2007,686371
32035,1990,5653187
West Fork,2010,1419690
Little Mud #2,2005,776005916
Mastodon Creek,2005,1798432
MHM NW 42,1995,4965563
OUR,1968,21700214
Little Mud,1999,4541060
Von Frank,1986,4818774
BTT SW 53,1990,111717554
Siruk Creek,2005,1556619
MENTANONTLI RIVER,2012,1375983
Bacon,1997,1800271
Melozi River,2010,439085
BTT SW 85,1986,3001230
Grand Creek,1999,10649720
31036,1990,16316847
Sischu,2011,408630
631484,1996,4279237
31061,1990,220961673
Grand Creek,2010,2363426
Kaguyak,1989,1519844
BIRCH HILL,1990,556114177
DUBLI,1954,5139167
GAL NE 48,1985,4919757
Susulatna,2008,1156923
631053,1986,61486408
APPLE MTN,1972,8704661
Norhill,1991,821007
Susulatna,2004,1802583
Page,2005,4407322
BIG RIVER3,1994,697840
804027,1988,28997012
Tough,1997,11180304
Ground Hog,2005,637086
Gagaryah,1997,374285
Cottonwood,1986,6878796
Currant Creek,2013,7510160
MIDDLE FORK,2010,220879
DEAD HORSE,1976,28103217
Hogatza River,2012,96960546
Reed River,2005,3162558
Kitalitna,2011,98375960
GRAY,1974,8336766
GAL NE 87,1986,23167072
BEAR,1973,95584880
Six Mile,2005,103939601
Hochandochtla Mountain,2011,28424286
KOKRINES NW-19,1959,54730159
Big Creek,2000,7946073
Nelson Mountain,2005,973054647
Road Commission,1942,25859012
FYU W 84,1990,16736747
LONE MOUNTAIN N-12,1957,97264644
Pat Creek,2010,291513104
Hodzana River,2005,107103219
Hamlin Creek,2011,34476
TROOPER,1969,9472837
Parks Hwy,2006,522413247
,2001,340243643
FAI SW 40,1978,6539899
Nenana River,2004,867928
32018,1990,1153621141
HADWEEZIC,1974,9974547
331573,1993,13161267
Beaver Trail Fire,1950,174726970
Hodzana,2003,1906911
Marten Island,2007,9295161
Tolovana River #2,1999,75192342
Boundary,2004,
Big Bend,2012,2768316
MURPHY DOME W-5,1958,88532737
Aggie Creek,1981,53276283
Crooked,1998,3494040
Bonnifield #2,2012,686871
Curky,1997,518867
WEST TWIN,1976,108858177
WITCH,1974,137026695
MHM SE 43,1993,435237
Hidden Creek,1996,20741937
GLACIER CREEK,1968,4972994
Glacier Creek,2004,28657489
Swan Lake,2007,7866984
Wild Lake,2005,11702985
WINDY POINT,1994,12200543
Death Valley,2002,8671078
131615,1991,63302413
Palmer Hay Flats,2001,1153059
Friday Creek,2008,830442
Dahl River,1946,9802798
332248,1993,153210262
MINTO FLATS,1995,26280975
Ft. Hamlin,1999,20791205
Toklat River 2,2009,2388559
Elmendorf,2006,331297
Wigand Creek,2008,429739
Kenai Lake,1959,25289823
Su River,2007,34101195
Ernie Creek,2010,455204
Lower Russian Lake,1985,101022
Oldman Landing,2014,252108
BETTLES W-40,1957,341058075
JOHN,1969,284226332
ROCKY BOTTOM,1972,25749368
CHITANANA,2011,12243641
414012,1984,6834650
HAYSTACK MT,1968,80780008
BLUEBELL,1971,9867780
TAL SW 37,1984,9877479
MHM N 25,1991,6774160
Live Trap Lake,2009,6683690
North Swift Fork,2013,3189412
SHIRLEY LAKE,1955,9642251
EAGLE HARBOR,1996,1860307
Kazakof Bay,1996,4066102
Ishtalitna Creek,2007,1640805
BTT S 10,1995,387894
Fish Lake,1950,103262575
BTT SS 53,1991,68590100
JOHN HANSEN,1969,373158745
Bear Creek,2009,204278791
Bitshtini Mountain,1971,13734742
John Hansen Creek,2002,103268490
Bear Creek,2013,14170045
TAL S 78,1990,6925871
Caribou Hills,2007,222845423
Candlelight,1984,274676
Dimitri Road,2002,46290
Cottonfield Road,2003,511419
Clawanmenka Lake,2004,435390534
Grizzly Creek,2013,203355
Melozitna River,1951,15743357
TAL N 52,1991,5009882
Bering Creek 2,2009,190320180
414008,1984,13302665
Nowitna #1,2005,398204
Telsitna #2,2005,6053520
Sulukna River 2,2007,1253112
North Fork,2010,48927665
SODA,1993,1240593
LEFT BANK,2003,1849142
Flat Creek,1986,5206050
INIAKUK LAKE E-8,1959,49805911
131574,1991,2300948
BERGMAN CREEK,1972,102710144
TODATONTIN,1969,528792099
Alatna Portage,2011,268434
Titna River,2009,660304096
BONEY,1969,16513720
Spirit Lake,2000,390402056
Dillinger,2009,96019716
Hog Head,1999,8583661
Alice Creek,2012,19971
Norutak,2004,189523
Hogatza River,2002,968514
GARDNER CR,1994,36046117
Gardiner Creek,1998,131233157
Rabbit Mountain,2005,917429715
Scottie Mtn,1991,10654194
KAN,1971,91402842
North Porcupine,2013,93632058
Wall Street,2004,358322137
LINNEY BAY FIRE,1993,2777750
N. fork 40 Mile River,1999,2591729
Kink,1999,369210681
Ladue River,2009,94456103
Mile 53 Taylor Fire,1953,61122195
Chisana River,2013,187293047
Dennison,1986,4330351
S.E. NORTHWAY,1954,18733109
NABESNA,1993,13676195
Ukalikchik,2002,568718
FYU NE 47,1987,29930709
MILL,1998,467703
Big Sitdown Creek,2005,27953915
Cherry Mountain,2007,901929
Indian Grave Creek,2004,106739642
Indian Grave Creek,2010,10014441
Eagle #1,1950,52701245
832014,1988,1858392
331585,1993,30708202
Forty Mile,1998,1760732
432333,1994,4174906
FYU SE 53,1988,735669
Circle,1946,140109663
232412,1992,4335606
CEM E 20,1977,38797992
Fiasco Lake,2010,2702053
Torgny,2000,5524322
CEMSE34,1993,68644858
Titus Creek,2005,858844
AHTELL CREEK,1967,9063416
232414,1992,159686847
Koness River,2006,38980369
CIK N 40,1986,48725526
Schuman House - Porcupine Rr.,1950,
Kevinjik,1999,932681059
Tommy Lake,2004,15559329
CIK SE 30,1990,6059865
Charley River N,1950,55414444
WEST FORK,1994,571009
Silvia Creek,2010,1422873
60 MILE BUTTE,1990,4357048
West Fork,1986,6613749
Tanacross Fire,1947,7337445
60 Mile,1986,5066283
FYUN60,1993,105773636
TWIN ISLAND,1972,21033041
FYU S 30,1979,23540809
Blueberry,2004,1447251
332266,1993,3504504
Rapid Creek,1986,18411445
Twelve Mile Creek,2013,37084
Haggard,1946,19275907
FYU W 35,1994,58104200
Cornucopia Creek,2003,212130251
Birch Creek,1951,155542158
BEAVER CREEK,1967,21868675
Glacier,1999,9392200
CEM NW 42,1992,18128489
CURTIS,1969,153472467
Sheenjek,1953,275316591
Ketchem Creek,2002,21078313
CRC NW 20,1994,110104
531270,1995,163677
Rock Creek,2004,23082738
ALBERT CREEK,1974,7994605
Glacier Creek,1984,10119742
Indian Creek,2004,333280
Christian River,2006,489156
Christian River Fire,1951,76163229
332262,1993,3755421
CEM NE 20,1991,226338607
Bull Creek,2009,69086520
Crater Creek,2013,6550870
Willow Creek,1999,1086773
South Schwatka,2010,4227303
WINDY CREEK,1996,39867068
IMPACT,1974,56429271
MID Husky Drop Zone RX,2010,1734626
DUD FIRE,1971,9875508
Read Fire,1951,4197717
Dry Creek,2010,1596605
Clear Creek Airstrip,2010,68188
Alphabet Hills,2004,150748704
Clear Creek #1,2011,1778995
431535,1994,18360764
CEM NW 45,1992,18420523
WEST FORK,1993,3491860
Butte Creek,1997,14405646
Ditch,2002,1356390
Chena dome,2011,558820
Stuart Creek #4,2006,132915
Duluth,2001,8471224
Mississippi Impact Area,2010,15928235
Sullivan 1,1986,621937
MILITARY #3,1990,184544
Hillbilly,2001,5920823
Oklahoma Range 1,2007,601265
Pingo,2004,1619595236
KHOTO MTN,1959,8624330
WAPOO FIRE,1984,149962553
Cease,1971,1660629
MCG WNW 65,1981,37388305
141007,1981,21645572
Beaver Creek,2005,10789
Julian,1988,1530346
